"","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"121","ABCD_1701",121,"dask-4.wav","T","D","D","m",1.64146399498,305.367319107
"122","ABCD_1701",122,"dask-1.wav","T","D","D","m",1.28124094009,306.902868986
"123","ABCD_1701",123,"dask-6.wav","T","D","T","z",1.42516207695,308.588835001
"124","ABCD_1701",124,"dask-3.wav","T","D","T","z",1.38612818718,310.241900921
"125","ABCD_1701",125,"dask-2.wav","T","D","D","m",1.22849297523,311.727458
"126","ABCD_1701",126,"dask-5.wav","T","D","T","z",1.15851902962,313.146596909
"127","ABCD_1702",1,"dask-3.wav","T","D","D","m",2.36145615578,96.7601249218
"128","ABCD_1702",2,"dask-5.wav","T","D","T","z",1.70663309097,98.7315108776
"129","ABCD_1702",3,"dask-7.wav","T","D","T","z",1.68753600121,100.68580699
"130","ABCD_1702",4,"dask-6.wav","T","D","T","z",1.44582915306,102.390044928
"131","ABCD_1702",5,"dask-2.wav","T","D","D","m",1.47819685936,104.128130913
"132","ABCD_1702",6,"dask-4.wav","T","D","T","z",1.44420003891,105.831719875
"133","ABCD_1702",7,"dask-1.wav","T","D","D","m",1.43733811378,107.535672903
"134","ABCD_1702",8,"gith-1.wav","K","G","G","m",1.73824691772,110.576184034
"135","ABCD_1702",9,"gith-2.wav","K","G","G","m",1.46181297302,112.296994925
"136","ABCD_1702",10,"gith-5.wav","K","G","K","z",1.44526386261,114.001237869
"137","ABCD_1702",11,"gith-3.wav","K","G","K","z",2.66172194481,116.92467308
"138","ABCD_1702",12,"gith-4.wav","K","G","G","m",2.69910001755,119.881684065
"139","ABCD_1702",13,"gith-7.wav","K","G","K","z",1.47824788094,121.619149923
"140","ABCD_1702",14,"gith-6.wav","K","G","K","z",1.38132715225,123.256449938
"141","ABCD_1702",15,"giss-4.wav","K","G","G","m",2.79852294922,127.349407911
"142","ABCD_1702",16,"giss-5.wav","K","G","K","z",2.64670586586,130.256453037
"143","ABCD_1702",17,"giss-1.wav","K","G","G","m",1.56414413452,132.077490091
"144","ABCD_1702",18,"giss-7.wav","K","G","K","z",1.26345396042,133.597645998
"145","ABCD_1702",19,"giss-6.wav","K","G","K","z",1.43161416054,135.285077095
"146","ABCD_1702",20,"giss-2.wav","K","G","G","m",1.32045984268,136.872327089
"147","ABCD_1702",21,"giss-3.wav","K","G","G","m",1.45372319221,138.592895985
"148","ABCD_1702",22,"gift-2.wav","K","G","G","m",1.60236382484,141.499900103
"149","ABCD_1702",23,"gift-7.wav","K","G","K","z",1.4832379818,143.237358093
"150","ABCD_1702",24,"gift-5.wav","K","G","K","z",2.88246679306,146.378170967
"151","ABCD_1702",25,"gift-3.wav","K","G","G","m",1.5020968914,148.149122
"152","ABCD_1702",26,"gift-1.wav","K","G","G","m",1.53122496605,149.936753988
"153","ABCD_1702",27,"gift-4.wav","K","G","G","m",1.64048814774,151.841262102
"154","ABCD_1702",28,"gift-6.wav","K","G","K","z",1.40016198158,153.495080948
"155","ABCD_1702",29,"dash-5.wav","T","D","T","z",4.83495998383,159.626357079
