"",".id","PartID","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"130","1_PhonWords_2016_Aug_21_1042.txt","5039",1,4,"gift-2.wav","G","K","G","z",1.89995590745,637.078001619
"131","1_PhonWords_2016_Aug_21_1042.txt","5039",1,5,"gift-6.wav","G","K","K","m",2.08859067291,639.422833098
"132","1_PhonWords_2016_Aug_21_1042.txt","5039",1,6,"gift-5.wav","G","K","K","m",2.70368476869,642.388332199
"133","1_PhonWords_2016_Aug_21_1042.txt","5039",1,7,"gift-4.wav","G","K","G","z",3.04194607785,645.681380021
"134","1_PhonWords_2016_Aug_21_1042.txt","5039",1,8,"dash-5.wav","D","T","T","m",4.95407304919,651.922797748
"135","1_PhonWords_2016_Aug_21_1042.txt","5039",1,9,"dash-1.wav","D","T","D","z",1.93117761315,654.11250746
"136","1_PhonWords_2016_Aug_21_1042.txt","5039",1,10,"dash-4.wav","D","T","T","m",1.87739876769,656.250388281
"137","1_PhonWords_2016_Aug_21_1042.txt","5039",1,11,"dash-7.wav","D","T","T","m",1.85135983701,658.353823698
"138","1_PhonWords_2016_Aug_21_1042.txt","5039",1,12,"dash-2.wav","D","T","D","z",1.49188811136,660.112475531
"139","1_PhonWords_2016_Aug_21_1042.txt","5039",1,13,"dash-6.wav","D","T","T","m",2.5251521383,662.888301411
"140","1_PhonWords_2016_Aug_21_1042.txt","5039",1,14,"dash-3.wav","D","T","D","z",1.77327763481,664.92287263
"141","1_PhonWords_2016_Aug_21_1042.txt","5039",1,15,"gith-4.wav","G","K","K","m",1.94284123261,668.181440458
"142","1_PhonWords_2016_Aug_21_1042.txt","5039",1,16,"gith-1.wav","G","K","G","z",1.5838917756,670.026302346
"143","1_PhonWords_2016_Aug_21_1042.txt","5039",1,17,"gith-3.wav","G","K","G","z",2.76293337084,673.043504521
"144","1_PhonWords_2016_Aug_21_1042.txt","5039",1,18,"gith-5.wav","G","K","K","m",1.52161371126,674.819367652
"145","1_PhonWords_2016_Aug_21_1042.txt","5039",1,19,"gith-2.wav","G","K","G","z",2.01774382989,677.095283998
