PartID,Subject,trialNum,cond,soundfile,leftprompt,rightprompt,response,correct,keyResp,keyRT,Time
5174,3,45,1-c,dots-pots-1-c.wav,stim47_2,stim47_1,pots,0,z,4.697986636,291.0721994
5174,3,46,1-i,bag-tag-1-i.wav,stim23_1,stim23_2,tag,0,m,3.581599083,294.9021333
5174,3,47,1-c,glass-class-1-c.wav,stim63_2,stim63_1,glass,0,z,5.686022083,300.8371512
5174,3,48,1-c,race-case-1-c.wav,stim57_2,stim57_1,race,1,m,4.624110194,305.7104742
5174,3,49,2-c,cane-chain-2-c.wav,stim12_1,stim12_2,chain,0,z,4.902495504,310.8611913
5174,3,50,2-i,crumbs-drums-2-i.wav,stim60_1,stim60_2,drums,0,m,5.991616906,317.1014756
5174,3,51,2-i,bark-dark-2-i.wav,stim38_2,stim38_1,bark,0,z,3.885551802,321.2351858
5174,3,52,2-c,train-grain-2-c.wav,stim37_1,stim37_2,grain,1,m,5.203260945,326.6872176
5174,3,53,2-c,lamp-ramp-2-c.wav,stim65_1,stim65_2,ramp,1,m,4.318163002,331.2542004
5174,3,54,2-c,chin-bin-2-c.wav,stim18_2,stim18_1,chin,1,z,5.006503037,336.509275
5174,3,55,1-c,cold-gold-1-c.wav,stim41_1,stim41_2,gold,0,m,5.149146771,341.9072367
5174,3,56,1-n,can-pan-1-n.wav,stim20_2,stim20_1,pan,1,m,3.608615117,345.764301
5174,3,57,2-n,bats-cats-2-n.wav,stim9_2,stim9_1,bats,0,m,4.158580888,350.1713597
5174,3,58,1-i,drill-grill-1-i.wav,stim48_2,stim48_1,grill,1,z,4.346000469,354.7663453
5174,3,59,1-n,booth-tooth-1-n.wav,stim55_1,stim55_2,tooth,1,z,3.386538775,358.4013637
5174,3,60,1-i,pills-bills-1-i.wav,stim11_1,stim11_2,bills,1,m,4.642176761,363.2923459
5223,3,1,1-i,lips-chips-1-i.wav,stim64_1,stim64_2,chips,0,m,6.655704897,167.5369122
5223,3,2,2-n,ghost-toast-2-n.wav,stim3_2,stim3_1,toast,1,z,5.135313078,172.9210726
5223,3,3,2-n,coats-goats-2-n.wav,stim21_1,stim21_2,goats,1,m,3.847010617,177.0162786
5223,3,4,2-i,bark-dark-2-i.wav,stim38_2,stim38_1,bark,0,z,4.839671432,182.1043865
5223,3,5,1-n,can-pan-1-n.wav,stim20_1,stim20_2,pan,1,z,4.527318582,186.8805185
5223,3,6,1-n,pen-den-1-n.wav,stim33_1,stim33_2,pen,1,m,3.247084738,190.376622
5223,3,7,1-i,drill-grill-1-i.wav,stim48_2,stim48_1,drill,0,m,4.190840464,194.8157803
5223,3,8,2-i,bug-rug-2-i.wav,stim13_1,stim13_2,bug,0,z,5.999471646,201.0639719
5223,3,9,2-n,rake-cake-2-n.wav,stim46_1,stim46_2,cake,1,m,3.391232738,204.704163
5223,3,10,1-c,dots-pots-1-c.wav,stim47_1,stim47_2,dots,1,z,5.606864046,210.5593129
5223,3,11,1-c,cold-gold-1-c.wav,stim41_2,stim41_1,cold,1,m,5.439514446,216.2474436
5223,3,12,1-c,toes-bows-1-c.wav,stim4_2,stim4_1,toes,1,m,4.463218172,220.9595881
5223,3,13,2-i,pie-tie-2-i.wav,stim7_2,stim7_1,pie,0,z,4.286914676,225.494783
5223,3,14,2-c,chin-bin-2-c.wav,stim18_1,stim18_2,chin,1,m,8.02347604,233.7670573
5223,3,15,2-c,cart-tart-2-c.wav,stim6_2,stim6_1,tart,1,z,5.215017048,239.2312398
5223,3,16,1-i,date-gate-1-i.wav,stim36_2,stim36_1,date,0,m,6.710606239,246.1903843
