"","Subject","trialNum","Response","soundfile","keyResp","keyRT","Time"
"147","ABCD_1703",21,"d","a_bd12_CV.wav","m",0.801019906998,90.1447389126
"148","ABCD_1703",22,"b","a_bd04_CV.wav","z",0.846116065979,91.0087459087
"149","ABCD_1703",23,"b","a_bd08_CV.wav","z",0.826865911484,91.840831995
"150","ABCD_1703",24,"d","a_bd10_CV.wav","m",0.775783061981,92.6248860359
"151","ABCD_1703",25,"b","a_bd06_CV.wav","z",0.822274923325,93.4565899372
"152","ABCD_1703",26,"d","a_bd16_CV.wav","m",1.02735209465,94.4964990616
"153","ABCD_1703",27,"d","a_bd18_CV.wav","m",0.815552949905,95.3205690384
"154","ABCD_1703",28,"b","a_bd06_CV.wav","z",0.837530851364,96.1604859829
"155","ABCD_1703",29,"d","a_bd12_CV.wav","m",0.889519929886,97.0644929409
"156","ABCD_1703",30,"d","a_bd18_CV.wav","m",0.779594898224,97.8564920425
"157","ABCD_1703",31,"d","a_bd14_CV.wav","m",0.722496032715,98.5844140053
"158","ABCD_1703",32,"b","a_bd02_CV.wav","z",0.715563058853,99.3124940395
"159","ABCD_1703",33,"d","a_bd10_CV.wav","m",0.732868909836,100.06445694
"160","ABCD_1703",34,"d","a_bd16_CV.wav","m",0.965185880661,101.048465967
"161","ABCD_1703",35,"b","a_bd04_CV.wav","z",0.83633518219,101.888377905
"162","ABCD_1703",36,"d","a_bd08_CV.wav","m",0.976587057114,102.880421877
"163","ABCD_1703",37,"b","a_bd04_CV.wav","z",0.862826108932,103.752441883
"164","ABCD_1703",38,"d","a_bd10_CV.wav","m",1.39458298683,105.152399063
"165","ABCD_1703",39,"d","a_bd16_CV.wav","m",0.935125112534,106.096299887
"166","ABCD_1703",40,"d","a_bd12_CV.wav","m",0.975471019745,107.088272095
"167","ABCD_1703",41,"d","a_bd14_CV.wav","m",1.06172895432,108.160248041
"168","ABCD_1703",42,"b","a_bd06_CV.wav","z",0.817045927048,108.984544039
"169","ABCD_1703",43,"d","a_bd18_CV.wav","m",0.877451896667,109.880212069
"170","ABCD_1703",44,"b","a_bd02_CV.wav","z",1.16844677925,111.056222916
"171","ABCD_1703",45,"d","a_bd08_CV.wav","m",0.750753164291,111.824137926
"172","ABCD_1703",46,"b","a_bd06_CV.wav","z",0.84677195549,112.68844986
"173","ABCD_1703",47,"b","a_bd08_CV.wav","z",1.02667212486,113.720182896
"174","ABCD_1703",48,"d","a_bd16_CV.wav","m",0.758802890778,114.488101959
"175","ABCD_1703",49,"d","a_bd12_CV.wav","m",0.774518013,115.272170067
"176","ABCD_1703",50,"b","a_bd02_CV.wav","z",0.710093021393,115.992321014
"177","ABCD_1703",51,"d","a_bd10_CV.wav","m",0.631567955017,116.632138968
"178","ABCD_1703",52,"d","a_bd14_CV.wav","m",0.884850978851,117.520026922
"179","ABCD_1703",53,"b","a_bd04_CV.wav","z",0.662882089615,118.200298071
"180","ABCD_1703",54,"d","a_bd18_CV.wav","m",0.770709037781,118.976037979
"181","ABCD_1703",55,"b","a_bd04_CV.wav","z",0.753793001175,119.743972063
"182","ABCD_1703",56,"d","a_bd12_CV.wav","m",1.4094209671,121.167994022
"183","ABCD_1703",57,"b","a_bd06_CV.wav","z",0.94983291626,122.128087997
"184","ABCD_1703",58,"b","a_bd02_CV.wav","z",0.948688983917,123.095903873
"185","ABCD_1703",59,"b","a_bd08_CV.wav","z",1.04497313499,124.143992901
"186","ABCD_1703",60,"d","a_bd16_CV.wav","m",0.648617982864,124.799834013
"187","ABCD_1703",61,"d","a_bd18_CV.wav","m",0.78928399086,125.591814041
"188","ABCD_1703",62,"d","a_bd14_CV.wav","m",0.819545030594,126.423882008
"189","ABCD_1703",63,"d","a_bd10_CV.wav","m",0.856226921082,127.295830011
"190","ABCD_1704",1,"d","a_bd18_CV.wav","m",1.59665513039,102.595649004
"191","ABCD_1704",2,"d","a_bd16_CV.wav","m",0.797327041626,103.435731173
"192","ABCD_1704",3,"d","a_bd10_CV.wav","m",0.933779001236,104.427502155
"193","ABCD_1704",4,"b","a_bd06_CV.wav","z",0.787544965744,105.267603159
"194","ABCD_1704",5,"d","a_bd14_CV.wav","m",0.744229078293,106.01950717
"195","ABCD_1704",6,"b","a_bd02_CV.wav","z",0.76122379303,106.787564039
"196","ABCD_1704",7,"d","a_bd08_CV.wav","m",0.648045063019,107.443564177
"197","ABCD_1704",8,"b","a_bd04_CV.wav","z",0.924414873123,108.387478113
"198","ABCD_1704",9,"d","a_bd12_CV.wav","m",0.653037071228,109.051491976
"199","ABCD_1704",10,"d","a_bd18_CV.wav","m",0.809286117554,109.875485182
"200","ABCD_1704",11,"b","a_bd06_CV.wav","z",0.566537857056,110.451399088
"201","ABCD_1704",12,"b","a_bd02_CV.wav","z",0.885372161865,111.355447054
"202","ABCD_1704",13,"d","a_bd12_CV.wav","m",0.720269918442,112.091611147
"203","ABCD_1704",14,"d","a_bd10_CV.wav","m",0.993409156799,113.099385977
"204","ABCD_1704",15,"d","a_bd14_CV.wav","m",1.03931307793,114.147392988
"205","ABCD_1704",16,"d","a_bd16_CV.wav","m",0.850969791412,115.011260033
"206","ABCD_1704",17,"b","a_bd04_CV.wav","z",0.92626285553,115.955387115
"207","ABCD_1704",18,"d","a_bd08_CV.wav","m",0.958827018738,116.923320055
"208","ABCD_1704",19,"b","a_bd06_CV.wav","z",0.66200709343,117.595214128
"209","ABCD_1704",20,"d","a_bd18_CV.wav","m",0.730416059494,118.331394196
"210","ABCD_1704",21,"b","a_bd02_CV.wav","z",0.683254003525,119.019174099
"211","ABCD_1704",22,"d","a_bd16_CV.wav","m",0.549845933914,119.587196112
"212","ABCD_1704",23,"d","a_bd14_CV.wav","m",0.693528175354,120.299130201
"213","ABCD_1704",24,"b","a_bd04_CV.wav","z",0.792339086533,121.099160194
"214","ABCD_1704",25,"d","a_bd10_CV.wav","m",0.623094797134,121.731502056
"215","ABCD_1704",26,"d","a_bd08_CV.wav","m",1.56416511536,123.307142019
"216","ABCD_1704",27,"b","a_bd12_CV.wav","z",0.697921991348,124.011089087
"217","ABCD_1704",28,"d","a_bd16_CV.wav","m",1.36440682411,125.379022121
"218","ABCD_1704",29,"b","a_bd08_CV.wav","z",0.602843046188,125.987056971
"219","ABCD_1704",30,"d","a_bd14_CV.wav","m",0.672719955444,126.675078154
"220","ABCD_1704",31,"b","a_bd02_CV.wav","z",0.859673976898,127.546967983
"221","ABCD_1704",32,"d","a_bd10_CV.wav","m",0.975252866745,128.531135082
"222","ABCD_1704",33,"d","a_bd18_CV.wav","m",0.773644924164,129.314886093
"223","ABCD_1704",34,"d","a_bd12_CV.wav","m",0.829268932343,130.155088186
"224","ABCD_1704",35,"b","a_bd04_CV.wav","z",0.706014871597,130.867108107
"225","ABCD_1704",36,"b","a_bd06_CV.wav","z",0.770989894867,131.651012182
"226","ABCD_1704",37,"d","a_bd10_CV.wav","m",0.802614927292,132.466863155
"227","ABCD_1704",38,"d","a_bd12_CV.wav","m",0.78421998024,133.266844034
"228","ABCD_1704",39,"d","a_bd08_CV.wav","m",0.934144020081,134.218801022
"229","ABCD_1704",40,"d","a_bd16_CV.wav","m",0.622144937515,134.858797073
"230","ABCD_1704",41,"d","a_bd14_CV.wav","m",0.627501010895,135.498869181
"231","ABCD_1704",42,"b","a_bd04_CV.wav","z",0.905125141144,136.411179066
"232","ABCD_1704",43,"d","a_bd18_CV.wav","m",0.674165964127,137.09880805
"233","ABCD_1704",44,"b","a_bd06_CV.wav","z",0.893618106842,138.002748013
"234","ABCD_1704",45,"b","a_bd02_CV.wav","z",0.855587005615,138.866674185
"235","ABCD_1704",46,"b","a_bd02_CV.wav","z",0.962779045105,139.842658997
"236","ABCD_1704",47,"d","a_bd14_CV.wav","m",0.610279798508,140.458662033
"237","ABCD_1704",48,"d","a_bd18_CV.wav","m",1.08015704155,141.546607018
"238","ABCD_1704",49,"d","a_bd12_CV.wav","m",1.24268388748,142.794655085
"239","ABCD_1704",50,"b","a_bd06_CV.wav","z",0.670006990433,143.474630117
"240","ABCD_1704",51,"b","a_bd04_CV.wav","z",1.03274989128,144.522524118
"241","ABCD_1704",52,"d","a_bd08_CV.wav","m",1.06078505516,145.602503061
"242","ABCD_1704",53,"d","a_bd16_CV.wav","m",0.952172040939,146.562796116
"243","ABCD_1704",54,"d","a_bd10_CV.wav","m",1.35920214653,147.938534021
"244","ABCD_1704",55,"d","a_bd16_CV.wav","m",0.741574048996,148.690520048
"245","ABCD_1704",56,"d","a_bd18_CV.wav","m",0.782115936279,149.482557058
"246","ABCD_1704",57,"d","a_bd14_CV.wav","m",1.09291005135,150.578410149
"247","ABCD_1704",58,"b","a_bd08_CV.wav","z",1.05432391167,151.64243412
"248","ABCD_1704",59,"d","a_bd12_CV.wav","m",0.905209064484,152.562280178
"249","ABCD_1704",60,"b","a_bd04_CV.wav","z",0.955056905746,153.530455112
"250","ABCD_1704",61,"d","a_bd10_CV.wav","m",0.826011896133,154.370418072
"251","ABCD_1704",62,"b","a_bd06_CV.wav","z",0.942916154861,155.322360039
"252","ABCD_1704",63,"b","a_bd02_CV.wav","z",0.846982955933,156.178299189
"253","ABCD_1705",1,"b","a_bd02_CV.wav","z",0.835806846619,58.4953680038
"254","ABCD_1705",2,"d","a_bd14_CV.wav","m",0.716900110245,59.2633368969
"255","ABCD_1705",3,"d","a_bd16_CV.wav","m",0.655752897263,59.9355590343
"256","ABCD_1705",4,"d","a_bd10_CV.wav","m",0.619472980499,60.567346096
"257","ABCD_1705",5,"d","a_bd18_CV.wav","m",0.601057052612,61.1833491325
"258","ABCD_1705",6,"d","a_bd12_CV.wav","m",0.638732910156,61.839302063
"259","ABCD_1705",7,"b","a_bd04_CV.wav","z",0.646057128906,62.5352880955
"260","ABCD_1705",8,"b","a_bd08_CV.wav","z",0.581842899323,63.13539505
"261","ABCD_1705",9,"b","a_bd06_CV.wav","z",0.676554918289,63.8312809467
"262","ABCD_1705",10,"b","a_bd02_CV.wav","z",0.592028856277,64.4312739372
"263","ABCD_1705",11,"d","a_bd14_CV.wav","m",0.654807090759,65.095279932
"264","ABCD_1705",12,"d","a_bd18_CV.wav","m",0.651216983795,65.7597739697
"265","ABCD_1705",13,"b","a_bd08_CV.wav","z",0.710341930389,66.4873800278
"266","ABCD_1705",14,"b","a_bd06_CV.wav","z",0.69630408287,67.1911458969
"267","ABCD_1705",15,"b","a_bd04_CV.wav","z",0.866755962372,68.06321311
"268","ABCD_1705",16,"d","a_bd10_CV.wav","m",0.725464105606,68.8071599007
"269","ABCD_1705",17,"d","a_bd12_CV.wav","m",0.702725172043,69.5192289352
"270","ABCD_1705",18,"d","a_bd16_CV.wav","m",0.688331127167,70.2231321335
"271","ABCD_1705",19,"b","a_bd02_CV.wav","z",0.635015964508,70.8711419106
"272","ABCD_1705",20,"d","a_bd16_CV.wav","m",0.679523944855,71.5671110153
"273","ABCD_1705",21,"d","a_bd14_CV.wav","m",0.706949949265,72.2792401314
"274","ABCD_1705",22,"b","a_bd08_CV.wav","z",0.860569953918,73.1510920525
"275","ABCD_1705",23,"d","a_bd10_CV.wav","m",0.688255786896,73.8472669125
"276","ABCD_1705",24,"b","a_bd04_CV.wav","z",0.786978960037,74.6475310326
"277","ABCD_1705",25,"d","a_bd18_CV.wav","m",0.568821907043,75.2310600281
"278","ABCD_1705",26,"b","a_bd06_CV.wav","z",0.62434387207,75.8711769581
"279","ABCD_1705",27,"d","a_bd12_CV.wav","m",0.557570934296,76.439084053
"280","ABCD_1705",28,"d","a_bd12_CV.wav","m",0.741504907608,77.1909110546
"281","ABCD_1705",29,"d","a_bd16_CV.wav","m",0.709720849991,77.9109220505
"282","ABCD_1705",30,"b","a_bd04_CV.wav","z",0.63979101181,78.5589859486
"283","ABCD_1705",31,"b","a_bd02_CV.wav","z",0.612528085709,79.1830990314
"284","ABCD_1705",32,"b","a_bd06_CV.wav","z",0.698423862457,79.8869960308
"285","ABCD_1705",33,"d","a_bd10_CV.wav","m",0.6450278759,80.535007
"286","ABCD_1705",34,"d","a_bd14_CV.wav","m",0.665502071381,81.2069280148
"287","ABCD_1705",35,"b","a_bd08_CV.wav","z",0.925341129303,82.134855032
"288","ABCD_1705",36,"d","a_bd18_CV.wav","m",0.701905965805,82.8468251228
"289","ABCD_1705",37,"d","a_bd14_CV.wav","m",0.687720060349,83.5508711338
"290","ABCD_1705",38,"b","a_bd06_CV.wav","z",0.738255023956,84.3028380871
"291","ABCD_1705",39,"b","a_bd02_CV.wav","z",0.674770116806,84.9909200668
"292","ABCD_1705",40,"d","a_bd16_CV.wav","m",0.813860177994,85.8148128986
"293","ABCD_1705",41,"b","a_bd04_CV.wav","z",0.747475862503,86.5668079853
"294","ABCD_1705",42,"d","a_bd18_CV.wav","m",0.659806966782,87.2307801247
"295","ABCD_1705",43,"d","a_bd12_CV.wav","m",0.695655822754,87.9348709583
"296","ABCD_1705",44,"d","a_bd10_CV.wav","m",0.666133165359,88.6067631245
"297","ABCD_1705",45,"b","a_bd08_CV.wav","z",0.669439792633,89.2948439121
"298","ABCD_1705",46,"d","a_bd10_CV.wav","m",0.648517131805,89.9586660862
"299","ABCD_1705",47,"b","a_bd06_CV.wav","z",0.765188932419,90.7266631126
"300","ABCD_1705",48,"d","a_bd14_CV.wav","m",0.621037006378,91.350812912
"301","ABCD_1705",49,"b","a_bd02_CV.wav","z",0.626157999039,91.9906909466
"302","ABCD_1705",50,"d","a_bd12_CV.wav","m",0.599424123764,92.5986049175
"303","ABCD_1705",51,"b","a_bd08_CV.wav","z",0.653434038162,93.2707240582
"304","ABCD_1705",52,"b","a_bd04_CV.wav","z",1.00923919678,94.2945449352
"305","ABCD_1705",53,"d","a_bd18_CV.wav","m",0.678457975388,94.9825890064
"306","ABCD_1705",54,"d","a_bd16_CV.wav","m",0.697697162628,95.6865959167
"307","ABCD_1705",55,"b","a_bd06_CV.wav","z",0.82014799118,96.5105490685
"308","ABCD_1705",56,"d","a_bd10_CV.wav","m",0.689105987549,97.2146289349
"309","ABCD_1705",57,"b","a_bd04_CV.wav","z",0.69127202034,97.9186170101
"310","ABCD_1705",58,"b","a_bd02_CV.wav","z",0.870099067688,98.7985670567
"311","ABCD_1705",59,"d","a_bd18_CV.wav","m",0.648777008057,99.4625880718
"312","ABCD_1705",60,"d","a_bd12_CV.wav","m",0.860654115677,100.342480898
"313","ABCD_1705",61,"d","a_bd16_CV.wav","m",0.864155054092,101.214448929
"314","ABCD_1705",62,"b","a_bd08_CV.wav","z",0.651846885681,101.87066412
"315","ABCD_1705",63,"d","a_bd14_CV.wav","m",0.72749209404,102.614447117
"316","ABCD_1706",1,"d","a_bd12_CV.wav","m",1.09284305573,54.4174530506
"317","ABCD_1706",2,"d","a_bd10_CV.wav","m",0.764925956726,55.193789959
"318","ABCD_1706",3,"b","a_bd04_CV.wav","z",0.735650062561,55.9696061611
"319","ABCD_1706",4,"d","a_bd16_CV.wav","m",0.739670038223,56.7534790039
"320","ABCD_1706",5,"b","a_bd02_CV.wav","z",0.795245885849,57.5616850853
